action,entity,id,campaign,ad_group,target,old_bid,new_bid,clicks,spend,sales,orders,reason
changed,Keyword,480558618138875,NS - SP - Phrase - All Cutting Boards,All Products,butcher block,0.6,0.54,58.0,47.2,163.9,2.0,"High ACOS (29% > target 15%, normal): bid trimmed up to 10%"
changed,Keyword,543694741153459,NS - SP - Phrase - All Cutting Boards,All Products,cutting boards wood,0.93,0.7,126.0,144.76,164.9,2.0,"High ACOS (88% > target 15%, extreme): bid trimmed up to 25%"
changed,Keyword,461525442301808,NS - SP - Phrase - All Cutting Boards,All Products,wood butcher block,1.5,1.58,11.0,12.62,119.95,1.0,"Low ACOS (11% <= 12% threshold, normal): bid +6%"
changed,Keyword,298434648367772,NS - SP - Phrase - All Cutting Boards,All Products,meat cutting board,0.93,0.7,13.0,15.55,13.95,1.0,"High ACOS (111% > target 15%, extreme): bid trimmed up to 25%"
changed,Keyword,313391642492023,NS - SP - Phrase - All Cutting Boards,All Products,cutting boards,0.75,0.68,358.0,348.53,1715.15,17.0,"High ACOS (20% > target 15%, normal): bid trimmed up to 10%"
changed,Keyword,458066447727787,NS - SP - Phrase - All Cutting Boards,All Products,hardwood cutting board,1.4,1.05,27.0,37.76,88.9,2.0,"High ACOS (42% > target 15%, extreme): bid trimmed up to 25%"
changed,Keyword,428783895764121,NS - SP - Phrase - All Cutting Boards,All Products,butchers block cutting board,1.15,0.86,132.0,161.23,224.85,1.0,"High ACOS (72% > target 15%, extreme): bid trimmed up to 25%"
changed,Keyword,535332421715329,NS - SP - Phrase - All Cutting Boards,All Products,cutting boards for kitchen,0.75,0.68,14.0,14.31,74.95,1.0,"High ACOS (19% > target 15%, normal): bid trimmed up to 10%"
changed,Keyword,556706285412304,NS - SP - Phrase - All Cutting Boards,All Products,wood cutting board,0.79,0.71,64.0,65.49,328.75,5.0,"High ACOS (20% > target 15%, normal): bid trimmed up to 10%"
changed,Keyword,484892062225853,NS - SP - Phrase - All Cutting Boards,Large,large cutting boards,0.95,0.85,33.0,38.25,189.95,1.0,"High ACOS (20% > target 15%, normal): bid trimmed up to 10%"
changed,Product targeting,198126899556260,SP - Auto - Low Bid - CA,Cutting Boards,loose-match,1.12,1.01,142.0,198.19,923.6,8.0,"High ACOS (21% > target 15%, normal): bid trimmed up to 10%"
changed,Product targeting,301378243586420,SP - Auto - Low Bid - CA,End grain,loose-match,0.98,0.73,216.0,294.33,674.85,3.0,"High ACOS (44% > target 15%, extreme): bid trimmed up to 25%"
changed,Keyword,353586547960220,NS - SP - Phrase - Maple,Generic Maple,maple cutting board,1.33,1.0,51.0,59.92,27.9,2.0,"High ACOS (215% > target 15%, extreme): bid trimmed up to 25%"
changed,Keyword,314251560857575,NS - SP - Phrase - Maple,Generic Maple,maple wooden cutting boards,2.2,1.65,34.0,69.68,222.8,4.0,"High ACOS (31% > target 15%, extreme): bid trimmed up to 25%"
changed,Keyword,562366733830233,NS - SP - Phrase - Maple,Generic Maple,maple cutting boards,1.3,0.98,45.0,45.17,13.95,1.0,"High ACOS (324% > target 15%, extreme): bid trimmed up to 25%"
changed,Keyword,502396684456445,NS - SP - Phrase - Maple,Generic Maple,maple wood cutting boards,1.6,1.44,45.0,55.05,294.8,4.0,"High ACOS (19% > target 15%, normal): bid trimmed up to 10%"
changed,Keyword,281188428829549,NS - SP - Phrase - Mizu,All Products,cutting board,0.67,0.6,123.0,85.74,287.8,4.0,"High ACOS (30% > target 15%, normal): bid trimmed up to 10%"
changed,Keyword,46315621054935,NS - SP - Phrase - Mizu,All Products,wood cutting board,0.71,0.75,46.0,36.87,374.85,3.0,"Low ACOS (10% <= 12% threshold, normal): bid +6%"
changed,Product targeting,506244454763513,SP - Product Target - All Products,SP - Product Target - Our Cutting Boards,"asin=""B09FTKLDJC""",1.33,1.6,29.0,21.43,1164.35,4.0,"Low ACOS (2% <= 12% threshold, extreme): bid +20%"
changed,Product targeting,444555453371456,SP - Auto - Business Only - All Cutting Boards,SP - Auto - Business Only - All Cutting Boards,close-match,1.31,1.57,16.0,26.93,559.85,3.0,"Low ACOS (5% <= 12% threshold, extreme): bid +20%"
changed,Keyword,323198626550228,NS - SP - Phrase - Walnut,Generic Walnut,walnut cutting board,0.67,0.8,31.0,27.72,489.9,2.0,"Low ACOS (6% <= 12% threshold, extreme): bid +20%"
changed,Keyword,365649805306775,SP - Manual - Phrase - End Grain Butcher Block,End Grain Butcher Block,end grain cutting board,0.79,0.95,26.0,23.68,499.9,2.0,"Low ACOS (5% <= 12% threshold, extreme): bid +20%"
changed,Product targeting,383587839339382,SP - Product Target - John Boos,SP - Product Target - John Boos Maple M,"asin=""B00063QBF4""",1.13,1.36,25.0,18.65,264.9,2.0,"Low ACOS (7% <= 12% threshold, extreme): bid +20%"
